#    L    TT             EE             BB             TE             PP             TP             EP          
    55   0.152945E+04   0.162682E+00   0.000000E+00  -0.588875E+00   0.129066E-06   0.744684E-03  -0.971496E-06
    56   0.155065E+04   0.172023E+00   0.000000E+00  -0.846496E+00   0.128489E-06   0.731103E-03  -0.930301E-06
    57   0.157218E+04   0.181661E+00   0.000000E+00  -0.111817E+01   0.127901E-06   0.718046E-03  -0.821603E-06
    58   0.159398E+04   0.191593E+00   0.000000E+00  -0.140410E+01   0.127302E-06   0.705443E-03  -0.677792E-06
    59   0.161598E+04   0.201819E+00   0.000000E+00  -0.170419E+01   0.126694E-06   0.693225E-03  -0.531197E-06
    60   0.163816E+04   0.212331E+00   0.000000E+00  -0.201794E+01   0.126077E-06   0.681321E-03  -0.414090E-06
    61   0.166051E+04   0.223121E+00   0.000000E+00  -0.234487E+01   0.125452E-06   0.669673E-03  -0.352011E-06
    62   0.168305E+04   0.234185E+00   0.000000E+00  -0.268496E+01   0.124819E-06   0.658262E-03  -0.343753E-06
    63   0.170580E+04   0.245521E+00   0.000000E+00  -0.303834E+01   0.124180E-06   0.647081E-03  -0.381438E-06
    64   0.172875E+04   0.257128E+00   0.000000E+00  -0.340512E+01   0.123535E-06   0.636122E-03  -0.457206E-06
    65   0.175194E+04   0.269005E+00   0.000000E+00  -0.378545E+01   0.122885E-06   0.625377E-03  -0.563209E-06
    66   0.177541E+04   0.281146E+00   0.000000E+00  -0.417955E+01   0.122232E-06   0.614845E-03  -0.690359E-06
    67   0.179913E+04   0.293542E+00   0.000000E+00  -0.458688E+01   0.121575E-06   0.604546E-03  -0.824565E-06
    68   0.182307E+04   0.306183E+00   0.000000E+00  -0.500673E+01   0.120916E-06   0.594507E-03  -0.950499E-06
    69   0.184718E+04   0.319062E+00   0.000000E+00  -0.543842E+01   0.120255E-06   0.584753E-03  -0.105285E-05
    70   0.187143E+04   0.332171E+00   0.000000E+00  -0.588145E+01   0.119592E-06   0.575313E-03  -0.111634E-05
    71   0.189581E+04   0.345506E+00   0.000000E+00  -0.633565E+01   0.118928E-06   0.566204E-03  -0.113012E-05
    72   0.192041E+04   0.359063E+00   0.000000E+00  -0.680188E+01   0.118263E-06   0.557415E-03  -0.110108E-05
    73   0.194537E+04   0.372835E+00   0.000000E+00  -0.728107E+01   0.117596E-06   0.548926E-03  -0.104049E-05
    74   0.197067E+04   0.386811E+00   0.000000E+00  -0.777305E+01   0.116928E-06   0.540720E-03  -0.959662E-06
    75   0.199634E+04   0.400980E+00   0.000000E+00  -0.827735E+01   0.116258E-06   0.532775E-03  -0.869847E-06
    76   0.202232E+04   0.415328E+00   0.000000E+00  -0.879338E+01   0.115588E-06   0.525074E-03  -0.781126E-06
    77   0.204848E+04   0.429842E+00   0.000000E+00  -0.931971E+01   0.114917E-06   0.517595E-03  -0.698840E-06
    78   0.207482E+04   0.444511E+00   0.000000E+00  -0.985588E+01   0.114245E-06   0.510316E-03  -0.627143E-06
    79   0.210138E+04   0.459323E+00   0.000000E+00  -0.104017E+02   0.113574E-06   0.503216E-03  -0.570187E-06
    80   0.212818E+04   0.474267E+00   0.000000E+00  -0.109573E+02   0.112903E-06   0.496274E-03  -0.532120E-06
    81   0.215524E+04   0.489330E+00   0.000000E+00  -0.115224E+02   0.112232E-06   0.489468E-03  -0.516015E-06
    82   0.218257E+04   0.504502E+00   0.000000E+00  -0.120965E+02   0.111563E-06   0.482781E-03  -0.520656E-06
    83   0.221015E+04   0.519771E+00   0.000000E+00  -0.126795E+02   0.110896E-06   0.476197E-03  -0.543755E-06
    84   0.223798E+04   0.535126E+00   0.000000E+00  -0.132708E+02   0.110230E-06   0.469698E-03  -0.583028E-06
    85   0.226606E+04   0.550554E+00   0.000000E+00  -0.138703E+02   0.109565E-06   0.463268E-03  -0.636194E-06
    86   0.229436E+04   0.566045E+00   0.000000E+00  -0.144774E+02   0.108904E-06   0.456896E-03  -0.700567E-06
    87   0.232287E+04   0.581586E+00   0.000000E+00  -0.150915E+02   0.108244E-06   0.450598E-03  -0.771838E-06
    88   0.235156E+04   0.597164E+00   0.000000E+00  -0.157122E+02   0.107587E-06   0.444396E-03  -0.845296E-06
    89   0.238045E+04   0.612766E+00   0.000000E+00  -0.163389E+02   0.106932E-06   0.438311E-03  -0.916233E-06
    90   0.240954E+04   0.628374E+00   0.000000E+00  -0.169713E+02   0.106280E-06   0.432366E-03  -0.979944E-06
    91   0.243883E+04   0.643976E+00   0.000000E+00  -0.176088E+02   0.105631E-06   0.426578E-03  -0.103265E-05
    92   0.246834E+04   0.659557E+00   0.000000E+00  -0.182512E+02   0.104985E-06   0.420945E-03  -0.107429E-05
    93   0.249806E+04   0.675100E+00   0.000000E+00  -0.188979E+02   0.104342E-06   0.415463E-03  -0.110569E-05
    94   0.252801E+04   0.690595E+00   0.000000E+00  -0.195488E+02   0.103702E-06   0.410125E-03  -0.112771E-05
    95   0.255819E+04   0.706024E+00   0.000000E+00  -0.202033E+02   0.103065E-06   0.404925E-03  -0.114120E-05
    96   0.258859E+04   0.721375E+00   0.000000E+00  -0.208610E+02   0.102431E-06   0.399858E-03  -0.114700E-05
    97   0.261922E+04   0.736631E+00   0.000000E+00  -0.215214E+02   0.101800E-06   0.394919E-03  -0.114596E-05
    98   0.265008E+04   0.751779E+00   0.000000E+00  -0.221840E+02   0.101173E-06   0.390101E-03  -0.113893E-05
    99   0.268115E+04   0.766802E+00   0.000000E+00  -0.228484E+02   0.100549E-06   0.385398E-03  -0.112674E-05
   100   0.271244E+04   0.781690E+00   0.000000E+00  -0.235140E+02   0.999282E-07   0.380806E-03  -0.111025E-05
   101   0.274395E+04   0.796427E+00   0.000000E+00  -0.241803E+02   0.993109E-07   0.376319E-03  -0.109028E-05
   102   0.277568E+04   0.810991E+00   0.000000E+00  -0.248470E+02   0.986971E-07   0.371930E-03  -0.106770E-05
   103   0.280761E+04   0.825382E+00   0.000000E+00  -0.255133E+02   0.980868E-07   0.367634E-03  -0.104333E-05
   104   0.283974E+04   0.839571E+00   0.000000E+00  -0.261788E+02   0.974801E-07   0.363426E-03  -0.101803E-05
   105   0.287207E+04   0.853550E+00   0.000000E+00  -0.268428E+02   0.968771E-07   0.359300E-03  -0.992629E-06
   106   0.290459E+04   0.867303E+00   0.000000E+00  -0.275048E+02   0.962778E-07   0.355251E-03  -0.967969E-06
   107   0.293729E+04   0.880825E+00   0.000000E+00  -0.281642E+02   0.956823E-07   0.351272E-03  -0.944892E-06
   108   0.297016E+04   0.894091E+00   0.000000E+00  -0.288206E+02   0.950906E-07   0.347358E-03  -0.924238E-06
   109   0.300319E+04   0.907095E+00   0.000000E+00  -0.294731E+02   0.945029E-07   0.343504E-03  -0.906845E-06
